wallet_address,tokens_traded,early_adoptions,ultra_early_discoveries,first_hour_discoveries,avg_discovery_score,avg_trader_rank,top10_discoveries,first_discoveries,connected_wallets,lead_ratio,avg_synchronicity_score,sync_trades_5min,avg_minutes_after_launch,total_connections,discovery_ability_score,influence_score,independence_score,reaction_speed_score,network_influence_score,independent_decision_ratio,network_role,source_file
0xa85b93983767729fcceac60e32a0bf87cd632108,21,203,0,0,35.23809523809524,12.095238095238097,14,7,203,0.681153042359939,20.492610837438423,0.0,38489.76190476191,4263,0,27.771619544248857,13,1,11.031485863274655,0.7950738916256157,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x39419e2f124a2bff928c64494bff67bae96c83d3,41,1040,0,0,40.0,18.390243902439025,13,3,208,0.7488436613024032,20.192307692307693,984.0,45985.56097560976,8528,0,29.04081864942006,11,1,11.012245594826018,0.7980769230769231,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x477cac2fc44a60492a8b637b77a99be4debcef20,69,1040,0,0,34.492753623188406,14.53623188405797,36,5,208,0.7476549115451173,20.192307692307693,1380.0,56082.65217391304,14352,0,29.01852959147095,11,1,11.005558877441286,0.7980769230769231,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x7225d8708b78772f7ccadc6df264c42b2b96c35a,32,624,0,0,39.375,17.84375,10,0,208,0.7743553067004382,20.0,416.0,36081.90625,6656,0,29.519162000633216,10,1,10.955748600189963,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x55d564bdad517cc4721ba7ab7612c97d888d4b7a,10,0,0,0,52.0,31.0,2,1,208,0.7251774267399268,20.0,10.0,11882.5,2080,0,28.597076751373628,11,1,10.879123025412088,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x9307514e06a07b149471ccfd690d0e3e6ace8df2,177,2717,0,0,35.25423728813559,9.76271186440678,121,24,209,0.7233238726668495,20.0,3894.0,47946.1186440678,36993,0,28.56232261250343,11,1,10.868696783751028,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x51523b0d2da820f204bb5b2c08a17992179619c3,5,412,0,0,64.0,41.6,0,0,206,0.7577669902912623,20.0,0.0,8655.2,1030,0,29.20813106796117,10,1,10.86243932038835,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xf0061709817aa4672a85f3a14e0b7c9e92e9542e,1,0,0,0,60.0,49.0,0,0,192,0.75,21.041666666666668,1.0,1589.0,192,0,29.0625,10,1,10.81875,0.7895833333333333,Inactive,SmartMoney_NetworkAnalysis_90d_e1.csv
0x6b270f0ba52908399170b0d4bddc8a5da9da8c93,4,618,0,0,65.0,47.25,0,0,206,0.7479773462783172,20.194174757281555,4.0,15595.0,824,0,29.02457524271845,10,1,10.807372572815536,0.7980582524271844,Inactive,SmartMoney_NetworkAnalysis_90d_e1.csv
0xf78e050479e3d59e4c67722b6f5a5349a55c293c,10,836,0,0,60.0,30.2,4,0,209,0.7373148781043519,20.19138755980861,0.0,8608.7,2090,0,28.8246539644566,10,1,10.747396189336978,0.798086124401914,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xa53a13a80d72a855481de5211e7654fabdfe3526,15,0,0,0,54.66666666666666,17.933333333333334,9,1,199,0.6971850455518795,20.301507537688444,15.0,14837.4,2985,0,28.07221960409774,11,1,10.721665881229322,0.7969849246231155,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xcfd8aa4314bb9a0da2f3c806b23b54e811b98310,37,416,0,0,38.91891891891892,17.35135135135135,17,1,208,0.729660837307056,20.192307692307693,296.0,44292.94594594595,7696,0,28.6811406995073,10,1,10.70434220985219,0.7980769230769231,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x1be3d6c73e7af74a0ab818c4a95bd72f058f320a,7,398,0,0,54.285714285714285,31.571428571428573,2,1,199,0.6632328308207706,20.0,0.0,8157.0,1393,0,27.43561557788945,11,1,10.530684673366832,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x11d67fa925877813b744abc0917900c2b1d6eb81,24,618,0,0,41.66666666666666,21.58333333333333,12,5,206,0.6193089875414264,20.388349514563107,72.0,46368.875,4944,0,26.612043516401744,12,1,10.483613054920523,0.7961165048543689,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xfaacd79182704b637992b842dd926402cd6335db,35,418,0,0,38.285714285714285,20.085714285714285,17,3,209,0.6457893357054503,20.0,210.0,42041.8,7315,0,27.10855004447719,11,1,10.432565013343156,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x2e32935bfd5b2718f99bc8fdf8b37c16811f7d97,18,0,0,0,41.11111111111112,21.61111111111111,10,1,206,0.6442906203828533,20.194174757281555,18.0,24988.944444444445,3708,0,27.0804491321785,11,1,10.424134739653551,0.7980582524271844,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x4c2de0c63b7e6d530df7e6221201e29858cae7de,16,0,0,0,48.75,15.9375,12,0,201,0.6698882930226211,20.0,0.0,16781.25,3216,0,27.560405494174148,10,1,10.368121648252243,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xb4fb31e7b1471a8e52dd1e962a281a732ead59c1,19,0,0,0,49.47368421052632,20.26315789473684,11,1,206,0.6151560980891588,20.0,19.0,18596.052631578947,3914,0,26.534176839171728,11,1,10.260253051751516,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0xa8a29bc8816e19d2b41cdaae48bd602180b0ff3e,38,0,0,0,41.53846153846154,14.487179487179487,28,3,208,0.6133259831049844,20.0,39.0,35583.820512820515,8112,0,26.499862183218458,11,1,10.249958654965535,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
0x2326d4fb2737666dda96bd6314e3d4418246cfe8,15,0,0,0,36.25,14.5,10,0,200,0.6465833333333332,20.0,16.0,45028.3125,3200,0,27.1234375,10,1,10.23703125,0.8,Regular Trader,SmartMoney_NetworkAnalysis_90d_e1.csv
